"iteration","current","best_so_far"
939,0,3.61
940,0,3.61
941,0,3.61
942,0,3.61
943,0,3.61
944,0,3.61
945,0,3.61
946,0,3.61
947,0,3.61
948,0,3.61
949,0,3.61
950,0,3.61
951,0,3.61
952,0,3.61
953,0,3.61
954,0,3.61
955,0,3.61
956,0,3.61
957,0,3.61
958,0,3.61
959,0,3.61
960,0,3.61
961,0,3.61
962,0,3.61
963,0,3.61
964,0,3.61
965,0,3.61
966,0,3.61
967,0,3.61
968,0,3.61
969,0,3.61
970,0,3.61
971,0,3.61
972,0,3.61
973,0,3.61
974,0,3.61
975,0,3.61
976,0,3.61
977,0,3.61
978,0,3.61
979,0,3.61
980,0,3.61
981,0,3.61
982,0,3.61
983,0,3.61
984,0,3.61
985,0,3.61
986,0,3.61
987,0,3.61
988,0,3.61
989,0,3.61
990,0,3.61
991,0,3.61
992,0,3.61
993,0,3.61
994,0,3.61
995,0,3.61
996,0,3.61
997,0,3.61
998,0,3.61
999,0,3.61
1000,0,3.61
1001,0,3.61
1002,0,3.61
1003,0,3.61
1004,0,3.61
1005,0,3.61
1006,0,3.61
1007,0,3.61
1008,0,3.61
1009,0,3.61
1010,0,3.61
1011,0,3.61
1012,0,3.61
1013,0,3.61
1014,0,3.61
1015,0,3.61
1016,0,3.61
1017,0,3.61
1018,0,3.61
1019,0,3.61
1020,0,3.61
1021,0,3.61
1022,0,3.61
1023,0,3.61
1024,0,3.61
1025,0,3.61
1026,0,3.61
1027,0,3.61
1028,0,3.61
1029,0,3.61
1030,0,3.61
1031,0,3.61
1032,0,3.61
1033,0,3.61
1034,0,3.61
1035,0,3.61
1036,0,3.61
1037,0,3.61
1038,0,3.61
1039,0,3.61
1040,0,3.61
1041,0,3.61
1042,0,3.61
1043,0,3.61
1044,0,3.61
1045,0,3.61
1046,0,3.61
1047,0,3.61
1048,0,3.61
1049,0,3.61
1050,0,3.61
1051,0,3.61
1052,0,3.61
1053,0,3.61
1054,0,3.61
1055,0,3.61
1056,0,3.61
1057,0,3.61
1058,0,3.61
1059,0,3.61
1060,0,3.61
1061,0,3.61
1062,0,3.61
1063,0,3.61
1064,0,3.61
1065,0,3.61
1066,0,3.61
1067,0,3.61
1068,0,3.61
1069,0,3.61
1070,0,3.61
1071,0,3.61
1072,0,3.61
1073,0,3.61
1074,0,3.61
1075,0,3.61
1076,0,3.61
1077,0,3.61
1078,0,3.61
1079,0,3.61
1080,0,3.61
1081,0,3.61
1082,0,3.61
1083,0,3.61
1084,0,3.61
1085,0,3.61
1086,0,3.61
1087,0,3.61
1088,0,3.61
1089,0,3.61
1090,0,3.61
1091,0,3.61
1092,0,3.61
1093,0,3.61
1094,0,3.61
1095,0,3.61
1096,0,3.61
1097,0,3.61
1098,0,3.61
1099,0,3.61
1100,0,3.61
1101,0,3.61
1102,0,3.61
1103,0,3.61
1104,0,3.61
1105,0,3.61
1106,0,3.61
1107,0,3.61
1108,0,3.61
1109,0,3.61
1110,0,3.61
1111,0,3.61
1112,0,3.61
1113,0,3.61
1114,0,3.61
1115,0,3.61
1116,0,3.61
1117,0,3.61
1118,0,3.61
1119,0,3.61
1120,0,3.61
1121,0,3.61
1122,0,3.61
1123,0,3.61
1124,0,3.61
1125,0,3.61
1126,0,3.61
1127,0,3.61
1128,0,3.61
1129,0,3.61
1130,0,3.61
1131,0,3.61
1132,0,3.61
1133,0,3.61
1134,0,3.61
1135,0,3.61
1136,0,3.61
1137,0,3.61
1138,0,3.61
1139,0,3.61
1140,0,3.61
1141,0,3.61
1142,0,3.61
1143,0,3.61
1144,0,3.61
1145,0,3.61
1146,0,3.61
1147,0,3.61
1148,0,3.61
1149,0,3.61
1150,0,3.61
1151,0,3.61
1152,0,3.61
1153,0,3.61
1154,0,3.61
1155,0,3.61
1156,0,3.61
1157,0,3.61
1158,0,3.61
1159,0,3.61
1160,0,3.61
1161,0,3.61
1162,0,3.61
1163,0,3.61
1164,0,3.61
1165,0,3.61
1166,0,3.61
1167,0,3.61
1168,0,3.61
1169,0,3.61
1170,0,3.61
1171,0,3.61
1172,0,3.61
1173,0,3.61
1174,0,3.61
1175,0,3.61
1176,0,3.61
1177,0,3.61
1178,0,3.61
1179,0,3.61
1180,0,3.61
1181,0,3.61
1182,0,3.61
1183,0,3.61
1184,0,3.61
1185,0,3.61
1186,0,3.61
1187,0,3.61
1188,0,3.61
1189,0,3.61
1190,0,3.61
1191,0,3.61
1192,0,3.61
1193,0,3.61
1194,0,3.61
1195,0,3.61
1196,0,3.61
1197,0,3.61
1198,0,3.61
1199,0,3.61
1200,0,3.61
1201,0,3.61
1202,0,3.61
1203,0,3.61
1204,0,3.61
1205,0,3.61
1206,0,3.61
1207,0,3.61
1208,0,3.61
1209,0,3.61
1210,0,3.61
1211,0,3.61
1212,0,3.61
1213,0,3.61
1214,0,3.61
1215,0,3.61
1216,0,3.61
1217,0,3.61
1218,0,3.61
1219,0,3.61
1220,0,3.61
1221,0,3.61
1222,0,3.61
1223,0,3.61
1224,0,3.61
1225,0,3.61
1226,0,3.61
1227,0,3.61
1228,0,3.61
1229,0,3.61
1230,0,3.61
1231,0,3.61
1232,0,3.61
1233,0,3.61
1234,0,3.61
1235,0,3.61
1236,0,3.61
1237,0,3.61
1238,0,3.61
1239,0,3.61
1240,0,3.61
1241,0,3.61
1242,0,3.61
1243,0,3.61
1244,0,3.61
1245,0,3.61
1246,0,3.61
1247,0,3.61
1248,0,3.61
1249,0,3.61
1250,0,3.61
1251,0,3.61
1252,0,3.61
1253,0,3.61
1254,0,3.61
1255,0,3.61
1256,0,3.61
1257,0,3.61
1258,0,3.61
1259,0,3.61
1260,0,3.61
1261,0,3.61
1262,0,3.61
1263,0,3.61
1264,0,3.61
1265,0,3.61
1266,0,3.61
1267,0,3.61
1268,0,3.61
1269,0,3.61
1270,0,3.61
1271,0,3.61
1272,0,3.61
1273,0,3.61
1274,0,3.61
