TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Comahuesuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Comahuesuchus;https://www.mindat.org/
Pehuenchesuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;86.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Pehuenchesuchus;https://www.mindat.org/
Pabhwehshi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Pakistan;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Pabhwehshi;"https://hal.archives-ouvertes.fr/hal-02124147/document; se dice Pabwehshi"
Cynodontosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Cenozoic;Paleogene;Paleocene;Selandian;61.6;extinct ;Argentina-Bolivia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Cynodontosuchus;https://www.mindat.org/
Campinasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Campinasuchus;https://www.mindat.org/
B._albertoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Baurusuchus;https://www.mindat.org/
B._pachecoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Baurusuchus;https://www.mindat.org/
B._salgadoensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Baurusuchus;https://www.mindat.org/
Pissarrachampsa;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Pissarrachampsa;https://www.mindat.org/
Stratiotosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Baurusuchidae;Stratiotosuchus;https://www.mindat.org/
Bergisuchus;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;48.6;Phanerozoic;Cenozoic;Paleogene;Eocene;Bartonian;40.4;extinct ;Germany;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Bergisuchus;https://www.mindat.org/
Iberosuchus;Phanerozoic;Cenozoic;Paleogene;Paleocene;Thanetian;56;Phanerozoic;Cenozoic;Paleogene;Eocene;Priabonian;37.2;extinct ;France-Portugal-Spain;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Iberosuchus;https://www.mindat.org/
Lorosuchus;Phanerozoic;Cenozoic;Paleogene;Paleocene;Thanetian;58.7;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Lorosuchus;https://www.mindat.org/
Barinasuchus;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;42;Phanerozoic;Cenozoic;Neogene;Miocene;Serravallian;11.8;extinct ;Argentina-Peru-Venezuela;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Barinasuchus;https://www.mindat.org/
Bretesuchus;Phanerozoic;Cenozoic;Paleogene;Paleocene;Thanetian;58.7;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Bretesuchus;https://www.mindat.org/
Ayllusuchus;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;48.6;Phanerozoic;Cenozoic;Paleogene;Eocene;Priabonian;37.2;extinct ;Argentina;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Ayllusuchus;https://www.mindat.org/
S._huilensis;Phanerozoic;Cenozoic;Neogene;Miocene;Langhian;15.97;Phanerozoic;Cenozoic;Neogene;Miocene;Tortonian;11.6;extinct ;Colombia-Peru;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sebecidae;Sebecus;https://www.mindat.org/
