book_id,group,title_es,author,audience,translated,n_tokens_running,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,emotion_density,valence_ratio,valence_balance,count_anger,count_anticipation,count_disgust,count_fear,count_joy,count_negative,count_positive,count_sadness,count_surprise,count_trust
CMP28,Comparison,Harry Potter y la cámara secreta,J. K. Rowling,children,TRUE,91167,13.425910691368587,19.140697840227276,15.411278203736002,19.31619994076804,13.30525299724681,37.04191209538539,38.88468415106343,18.75678699529435,11.824454023934099,26.76407033246679,137.94465102504196,1.0497482973053005,1.84277205567804,1224,1745,1405,1761,1213,3377,3545,1710,1078,2440
CMP29,Comparison,Harry Potter y la orden del fénix,J. K. Rowling,young_adult,TRUE,253615,13.354888314965597,19.194448277901543,12.558405457090473,17.696114188829526,13.153796108274353,34.69826311535201,39.153835538118805,18.898724444532068,11.608146205863218,25.38099087199101,131.84551386944779,1.128409090909091,4.455572422766792,3387,4868,3185,4488,3336,8800,9930,4793,2944,6437
CMP30,Comparison,Harry Potter y la piedra filosofal,J. K. Rowling,children,TRUE,77823,13.235161841614946,19.595749328604654,13.350808886832942,18.19513511429783,13.119514796396953,36.17182580985056,38.78030916310088,19.24880819295067,11.898795985762563,24.401526540996876,133.04550068745743,1.0721136767317938,2.608483353250321,1030,1525,1039,1416,1021,2815,3018,1498,926,1899
CMP31,Comparison,Harry Potter y las reliquias de la muerte,J. K. Rowling,young_adult,TRUE,200684,14.764505391560862,18.8007016005262,14.236311813597496,20.93839070379303,12.317872874768293,36.151362340794485,37.69109645014052,20.599549540571246,12.253094417093541,23.140858264734607,137.05128460664528,1.042591316333563,1.5397341093460355,2963,3773,2857,4202,2472,7255,7564,4134,2459,4644
CMP32,Comparison,Historias fantásticas,Stephen King,adult,TRUE,56491,13.400364659857322,20.056292152732293,12.320546635747288,18.445416083977978,15.082048467897541,35.98803349206068,38.112265670637804,20.1979076313041,12.338248570568764,26.074949992034128,137.91577419411942,1.0590260698475162,2.124232178577124,757,1133,696,1042,852,2033,2153,1141,697,1473
CMP33,Comparison,La expedición,Stephen King,adult,TRUE,51044,13.439385628085573,22.60794608572996,13.733249745317766,21.765535616331007,14.53647833241909,37.771334534911055,46.097484523156496,21.824308439777447,12.28352010030562,25.56617819920069,145.75660214716714,1.220435684647303,8.32614998824544,686,1154,701,1111,742,1928,2353,1114,627,1305
CMP34,Comparison,La historia interminable,Michael Ende,children,TRUE,117770,12.796128046191729,24.276131442642438,12.804619172964252,18.86728368854547,16.336927910333703,37.33548441878237,45.58885964167445,18.99465059013331,13.305595652543092,24.90447482380912,142.28581132716312,1.221059813509211,8.253375222892082,1507,2859,1508,2222,1924,4397,5369,2237,1567,2933
CMP35,Comparison,La emperatriz de los Etéreos,Laura Gallego García,young_adult,FALSE,67370,11.384889416654298,19.667507792786108,10.212260650141012,16.90663500074217,12.720795606352976,33.011726287665134,41.90292415021523,19.029241502152292,10.212260650141012,20.92919697194597,121.06278759091583,1.2693345323741005,8.891197862550094,767,1325,688,1139,857,2224,2823,1282,688,1410
CMP36,Comparison,La torre oscura: el pistolero,Stephen King,adult,TRUE,61811,17.504974842665543,21.517205675365226,16.032744980666873,22.407014932617173,13.104463606801378,42.79173609875265,38.81186196631668,25.57797155846047,12.327902800472408,23.426250990923947,151.898529387973,0.9069943289224953,-3.979874132435974,1082,1330,991,1385,810,2645,2399,1581,762,1448
CMP37,Comparison,Las dos espadas,R. A. Salvatore,adult,TRUE,125617,21.86009855353973,19.193262058479345,15.053694961669201,26.174801181368764,11.622630694890022,41.554885087209534,39.883136836574664,16.725443212304068,11.550984341291386,23.86619645430157,146.0471114578441,0.9597701149425286,-1.6717482506348702,2746,2411,1891,3288,1460,5220,5010,2101,1451,2998
