book_id,group,title_es,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
CMP41,Comparison,El mar de los monstruos,0.10269394369050029,0.15323070690702853,0.091452298966984,0.1486732833704679,0.10451691310512456,0.1367227060968199,0.08638849503747213,0.17632165282560258
CMP42,Comparison,La batalla del laberinto,0.09832894940430141,0.15395327247408325,0.08935478879777194,0.1590592604053845,0.09337768838000929,0.1453659291350766,0.08649234101810305,0.17406777038527002
CMP43,Comparison,La maldición del titán,0.09823462414578588,0.14312832194381167,0.09491268033409263,0.16192103264996202,0.10022779043280182,0.14066059225512528,0.08428246013667426,0.1766324981017464
CMP44,Comparison,Peter Pan,0.10740684869512747,0.15115402021421026,0.09684718660431438,0.13244833308191278,0.10816111027304269,0.1427062905415598,0.08613667219791823,0.1751395383919143
CMP45,Comparison,Hora cero,0.10267302113551596,0.13396187318690428,0.10681723995026939,0.17706174886033982,0.07936179030252799,0.14401160381268133,0.08868628263572317,0.16742644011603813
CMP46,Comparison,La conspiración Umbrella,0.0967285754690299,0.1403789950032997,0.1015367210332799,0.1519751107759027,0.06853964363156406,0.13689073253511833,0.0860752333364759,0.21787498821532952
CMP47,Comparison,El siervo de la piedra,0.15068635068635067,0.11851851851851851,0.09515669515669514,0.18575498575498575,0.07438487438487439,0.1408961408961409,0.09178969178969178,0.1428127428127428
CMP48,Comparison,El estigma de Errtu,0.13278374034323637,0.12256960647067974,0.10701508788303003,0.18820967491056154,0.07559496033597761,0.13293928552911288,0.08949033027427801,0.15139731425312386
CMP49,Comparison,El mar de las espadas,0.14496368978324742,0.12650368645712068,0.10965131104828427,0.19003270691280005,0.0766117855756971,0.11164698708354123,0.0847607960529963,0.155829037086313
CMP50,Comparison,La columna del mundo,0.12868267712247455,0.13347492239830094,0.10733540271197517,0.15716386211403366,0.10428579208190383,0.12530632249632412,0.08658715896095409,0.15716386211403366
CMP51,Comparison,Conflicto,0.09981489391997721,0.14395557454079452,0.0922682614267407,0.13925672789406235,0.09326498647301722,0.15677061085006405,0.08443685034885376,0.1902320945464901
CMP52,Comparison,Despertar,0.10786957587644029,0.13826918362343713,0.0915665604314783,0.14243687178229958,0.0969600392253003,0.15224319686197596,0.0855601863201765,0.18509438587889188
CMP53,Comparison,El regreso: anochecer,0.11984945817922264,0.13652585815326715,0.10635260528194147,0.15793913438453053,0.08318733372266564,0.15534358575043802,0.08922198429693076,0.15158004023100383
CMP54,Comparison,Furia,0.10366590573385256,0.13629649523297974,0.09816033302000807,0.15697596347522494,0.08674634080837922,0.1557674231234054,0.08218074392372768,0.18020679468242248
CMP55,Comparison,Invocación,0.11887316826680143,0.13479029813036889,0.09348155634158667,0.1637190500252653,0.0874178878221324,0.16093986862051543,0.09095502779181405,0.14982314300151595
CMP56,Comparison,Stardust,0.08595531235750113,0.15458276333789328,0.10339717282261741,0.10590515275877792,0.1396488828089375,0.1263109895120839,0.07102143182854537,0.21317829457364337
CMP57,Comparison,La zona muerta,0.08670357511494792,0.1510274936661349,0.08327859622783147,0.13601388758562447,0.11081917988176786,0.14708642207000092,0.08900253354602608,0.19606831190766633
CMP58,Comparison,El nombre de la rosa,0.10282077866361589,0.141432197633263,0.095670515891459,0.14808194201136893,0.10053269457652568,0.1380715741303493,0.07472024596903935,0.1986700511243788
