book_id,group,title_es,author,audience,translated,n_tokens_running,n_sentences,words_per_sentence,sd_words_per_sentence,median_words_per_sentence,pct_short_sentences,pct_long_sentences,letters_per_word,syllables_per_word,Fernandez_Huerta,Szigriszt_Pazos,Gutierrez_Polini,Mu_index,inflesz_band_en,inflesz_band_es,Flesch_Kincaid_EN,ARI_EN,flag_segmentation
CMP52,Comparison,Despertar,L. J. Smith,young_adult,TRUE,57263,4755,12.042691903259726,7.583791191809342,11,43.91167192429022,5.509989484752892,4.607355534987688,2.0074917485985715,74.1069493427608,69.72557215904929,46.293709144478534,65.09655803939174,fairly easy,bastante facil,12.79505247573444,6.291990521421873,FALSE
CMP53,Comparison,El regreso: anochecer,L. J. Smith,young_adult,TRUE,120678,6914,17.454150997975123,12.464375373329215,15,28.73879085912641,19.959502458779287,4.516589602081573,1.9450189761182652,72.33562741496947,68.20616678985697,45.28012801051746,69.08392202805041,fairly easy,bastante facil,14.168342807405828,8.57021252479177,FALSE
CMP54,Comparison,Furia,L. J. Smith,young_adult,TRUE,55247,4780,11.557949790794979,7.674758004263365,10,48.17991631799163,5.564853556485356,4.592701866164679,1.9978460368888808,75.18012900005627,70.81124211102775,46.605509471424384,67.42928161259569,fairly easy,bastante facil,12.492183653698838,5.980600685033124,FALSE
CMP55,Comparison,Invocación,L. J. Smith,young_adult,TRUE,55928,5118,10.927706135209066,7.3901302098623365,9,51.42633841344275,4.533020711215318,4.631061364611644,2.0010549277642684,75.63044407623065,71.24157186507703,46.45400761594389,68.8634538641143,fairly easy,bastante facil,12.284253540349905,5.846152094925376,FALSE
CMP56,Comparison,Stardust,Neil Gaiman,adult,TRUE,59026,3905,15.11549295774648,14.062588939800701,11,45.1472471190781,16.261203585147246,4.4790431335343746,1.9321146613356825,75.49531750295763,71.3487636410405,46.4628590695053,66.95968788749178,fairly easy,bastante facil,13.103995257282183,7.224039637820141,FALSE
CMP57,Comparison,La zona muerta,Stephen King,adult,TRUE,156375,13003,12.026070906713835,10.348486492896248,9,52.97239098669538,9.482427132200263,4.672236610711431,1.998228617106315,74.67969064877298,70.31928624756274,45.67018005874928,60.872968839173524,fairly easy,bastante facil,12.679265335472916,6.589269889807756,FALSE
CMP58,Comparison,El nombre de la rosa,Umberto Eco,adult,TRUE,190088,9363,20.302039944462244,18.870576277277745,15,30.823454021147068,27.10669657161166,4.704584192584488,2.0060550902739784,65.76861384020981,61.555727931468915,42.45981935136869,61.48308832087823,normal,normal,15.999245643573222,10.879611519304056,FALSE
CMP59,Comparison,Demonios del océano,Justin Somper,young_adult,TRUE,63698,5922,10.756163458291118,7.1546272742694885,9,52.836879432624116,4.2890915231340765,4.5342239944739235,1.96161574931709,78.17176831351766,73.87017535925419,47.453370043201055,70.45516283237986,fairly easy,bastante facil,11.751969590675202,5.3042767431177396,FALSE
CMP60,Comparison,Emboscada en el océano,Justin Somper,young_adult,TRUE,15897,1650,9.634545454545455,6.59022180153482,8,59.93939393939394,2.6060606060606064,4.570296282317418,1.959111782097251,79.46605671052859,75.14779052079581,47.49603515243014,68.86524501280446,fairly easy,bastante facil,11.28499175602029,4.913368216987767,FALSE
CMP61,Comparison,Sangre de capitán,Justin Somper,young_adult,TRUE,116435,12995,8.95998460946518,6.233808239124219,7,63.63216621777607,2.17006540977299,4.5620131403787525,1.9616094816850604,80.00424679724189,75.66674468155557,47.8124779250133,68.25296413341265,fairly easy,bastante facil,11.051385881575133,4.537074195916514,FALSE
CMP62,Comparison,Una ola de terror,Justin Somper,young_adult,TRUE,93232,8866,10.51567787051658,7.316835206738075,9,54.70336115497406,4.793593503270922,4.618800411875751,1.9864316972713232,76.9281067357937,72.56462738948,46.717148750124416,66.02553962979549,fairly easy,bastante facil,11.951008397303081,5.582388875193075,FALSE
CMP63,Comparison,Viaje al centro de la Tierra,Jules Verne,young_adult,TRUE,70361,4404,15.97661217075386,12.279970104637,13,36.6030881017257,18.4377838328792,4.821733630846634,2.05210272736317,67.41769194404088,63.01238791452068,42.83736952102381,56.18864759973885,normal,normal,14.855690929479412,9.268671486664573,FALSE
PAP01,Papelucho,Papelucho,Marcela Paz,children,FALSE,20669,1187,17.41280539174389,10.616974207781615,15,22.40943555181129,17.944397641112047,4.011853500411244,1.7620107407228216,83.35829405705194,79.64892546122434,50.19053915890057,73.84007657569946,fairly easy,bastante facil,11.992720843309414,6.172232682808904,FALSE
PAP02,Papelucho,Papelucho casi huérfano,Marcela Paz,children,FALSE,17516,901,19.44062153163152,12.675813917781928,17,23.86237513873474,27.524972253052166,4.033512217401233,1.775690796985613,80.46911821859908,76.7688418161648,49.27071395513701,71.98317217578676,fairly easy,bastante facil,12.944993801766532,7.288153309775566,FALSE
PAP03,Papelucho,Papelucho historiador,Marcela Paz,children,FALSE,13685,1141,11.993865030674847,7.564092631128189,11,44.8729184925504,4.995617879053462,4.380635732553891,1.8944830105955426,80.93727703297911,76.81484340922287,48.50998063349107,70.25031803644957,fairly easy,bastante facil,11.442506886990593,5.199726815666249,FALSE
PAP04,Papelucho,Papelucho detective,Marcela Paz,children,FALSE,22303,1817,12.274628508530546,8.618729616365737,10,46.450192625206384,7.59493670886076,3.993991839662826,1.77213827736179,87.99158227959146,84.15615681182996,52.162159177284906,74.82452953163593,very easy,muy facil,10.108336791196034,3.5190158190771825,FALSE
PAP05,Papelucho,Papelucho en la clínica,Marcela Paz,children,FALSE,25456,1700,14.974117647058824,11.253038705277897,12,40.705882352941174,16.235294117647058,4.069846008799497,1.8046825895663106,83.28544462602137,79.42915702296004,50.4815525381743,71.81526231622776,fairly easy,bastante facil,11.545160439235406,5.226033524975044,FALSE
PAP06,Papelucho,Papelucho perdido,Marcela Paz,children,FALSE,16173,1195,13.533891213389122,9.622987628850678,12,40.418410041841,10.87866108786611,4.201694181660793,1.8513572002720584,81.9539989460196,77.96155520966165,49.706704513204116,70.52822844394066,fairly easy,bastante facil,11.534232536432047,5.126925202316897,FALSE
PAP07,Papelucho,"Papelucho, mi hermana Ji",Marcela Paz,children,FALSE,15301,1196,12.793478260869565,9.070233107015966,11,44.98327759197324,9.698996655518394,4.175740147702765,1.843408927521077,83.18611652264842,79.19714555456736,50.21760317597884,70.27043960263973,fairly easy,bastante facil,11.151681866487838,4.634475226114805,FALSE
PAP08,Papelucho,Papelucho misionero,Marcela Paz,children,FALSE,21574,1425,15.139649122807018,10.887358640133076,13,36.84210526315789,15.368421052631579,4.304162417725039,1.884536942616112,78.32534133777013,74.28869935220922,48.150747355084675,67.15502704945864,fairly easy,bastante facil,12.551999080764862,6.412429548888447,FALSE
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,Marcela Paz,children,FALSE,19742,1530,12.90326797385621,9.047819842173785,11,43.00653594771242,8.169934640522875,4.212997669942255,1.843278289940229,83.08196927025294,79.09549456286754,49.81777881071046,69.99129759534873,fairly easy,bastante facil,11.192958331098627,4.864853012356125,FALSE
PAP10,Papelucho,"Papelucho, mi hermano hippie",Marcela Paz,children,FALSE,21244,1567,13.557115507338864,9.834216573575207,11,42.246330567964264,11.231652839821313,4.252541894181887,1.8594426661645642,81.44518221264052,77.43460639060879,49.2053531988671,68.48886539446171,fairly easy,bastante facil,11.638698508604016,5.378030075266118,FALSE
PAP11,Papelucho,Papelucho en vacaciones,Marcela Paz,children,FALSE,17051,1368,12.464181286549708,8.573420273627734,10,46.198830409356724,7.456140350877193,4.41880241628057,1.9228784235528709,78.75382967454705,74.57549292610645,47.97515311178608,66.49320396684175,fairly easy,bastante facil,11.960996099678265,5.61465002395634,FALSE
PAP12,Papelucho,Papelucho: soy dix leso,Marcela Paz,children,FALSE,16411,1401,11.713775874375447,8.10176032998881,10,48.75089221984297,6.35260528194147,4.235939309000061,1.8682590945097801,82.79640293755024,78.72868253766526,50.01156714666801,67.53949517424238,fairly easy,bastante facil,11.023829906221831,4.378162082578015,FALSE
