book_id,group,title_es,author,mean_sentiment,median_sentiment,sd_sentiment,min_sentiment,max_sentiment,sentiment_range,pct_negative_chunks,n_chunks,n_sentences,pct_negative_sentences,pct_neutral_sentences
CMP61,Comparison,Sangre de capitán,Justin Somper,0.04940435385785183,0.051523940674628343,0.015738160809446226,0.027053136142448996,0.07334346229371794,0.04629032615126894,0,20,12995,14.813389765294344,59.90765679107349
CMP62,Comparison,Una ola de terror,Justin Somper,0.06463704231917344,0.0696192985838035,0.042908083296394194,-0.007254859384106316,0.14773870994628716,0.15499356933039346,10,20,8866,15.892172343785246,54.11685089104444
CMP63,Comparison,Viaje al centro de la Tierra,Jules Verne,0.05708160952396342,0.05704069619116689,0.038258878417384026,0.005039614537402294,0.14929264991440466,0.14425303537700238,0,20,4404,21.162579473206176,44.77747502270663
PAP01,Papelucho,Papelucho,Marcela Paz,-0.006146974237589687,-0.006688011892245171,0.04518404464456646,-0.12254513247237189,0.05974176356863281,0.1822868960410047,55.00000000000001,20,1187,28.22240943555181,44.397641112047175
PAP02,Papelucho,Papelucho casi huérfano,Marcela Paz,0.01829511829473397,0.016859538199352268,0.06219770038231265,-0.1072577660327032,0.18628200364840813,0.29353976968111134,35,20,901,27.192008879023305,40.399556048834626
PAP03,Papelucho,Papelucho historiador,Marcela Paz,0.048951029031752094,0.05913538461924586,0.045174764134412244,-0.037519027658872973,0.11337350616597347,0.15089253382484644,20,20,1141,18.054338299737072,53.023663453111304
PAP04,Papelucho,Papelucho detective,Marcela Paz,0.009353650929730555,0.015758634158205127,0.04339591103240292,-0.08384836890818219,0.0729150711669393,0.1567634400751215,40,20,1817,23.115024766097964,51.56851953769951
PAP05,Papelucho,Papelucho en la clínica,Marcela Paz,0.015907709617916873,0.014216047949399464,0.04183749085779116,-0.054793238510808154,0.1315328468900455,0.18632608540085366,35,20,1700,25.35294117647059,45.529411764705884
PAP06,Papelucho,Papelucho perdido,Marcela Paz,0.01597248251914648,0.014176345807445225,0.05235394295637497,-0.10104417858461086,0.10544748049640915,0.20649165908102002,35,20,1195,21.841004184100417,52.63598326359833
PAP07,Papelucho,"Papelucho, mi hermana Ji",Marcela Paz,0.002759236702136073,0.004048317429384323,0.04500277719571529,-0.09728332518531839,0.07471967327638679,0.1720029984617052,40,20,1196,22.9933110367893,53.34448160535117
PAP08,Papelucho,Papelucho misionero,Marcela Paz,0.015843592214640264,0.008849701864801867,0.04785404528107417,-0.07630992685950412,0.11041037734554637,0.18672030420505048,35,20,1425,22.87719298245614,49.75438596491228
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,Marcela Paz,0.012349645120588504,0.02243162069402073,0.04262605657854985,-0.060905815005461474,0.09472701923773447,0.15563283424319593,40,20,1530,22.287581699346408,53.071895424836605
PAP10,Papelucho,"Papelucho, mi hermano hippie",Marcela Paz,0.01860340704399701,0.020031062218632,0.02426728040710817,-0.03445823077448255,0.05325140396639561,0.08770963474087816,25,20,1567,21.442246330567965,52.839821314613914
PAP11,Papelucho,Papelucho en vacaciones,Marcela Paz,0.003818397560824684,0.011203856696570877,0.047483498719602654,-0.08230096933104689,0.1114231652680687,0.19372413459911558,45,20,1368,22.514619883040936,53.80116959064327
PAP12,Papelucho,Papelucho: soy dix leso,Marcela Paz,-0.011229152725386847,-0.011499781442373347,0.03194463277274147,-0.06513273787001923,0.07691110828858007,0.1420438461585993,70,20,1401,22.769450392576733,56.3169164882227
