"doc_id","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza"
"L0457",7827,0.0104997288457575,0.214822228192776,0.263063753673183,2470,4401,2456,3785,3293,4510,2140,5416,0.0867549436268484,0.154578342875206,0.086263215201433,0.132942292156932,0.115661550349478,0.158406799901654,0.0751642021706298,0.190228653717818
"L0458",3904,-0.00751494818627188,0.195824287421641,0.297643442622951,2158,2055,1398,3276,993,2484,1180,3564,0.126139817629179,0.120119242459668,0.0817161561842413,0.191489361702128,0.0580430208089783,0.145195230301613,0.0689735796118775,0.208323591302315
"L0459",3402,0.00990510017474433,0.193691719611719,0.232510288065844,952,1755,959,1719,1216,1553,965,1943,0.0860603869101428,0.158651238474055,0.0866931838727174,0.1553968540951,0.109925872355813,0.140390526125475,0.0872355812692099,0.175646356897487
"L0461",3888,-0.00946548542931992,0.238575074211088,0.246399176954733,775,1273,657,1171,700,1534,627,1274,0.0967419797778055,0.158906503557608,0.0820122331793783,0.146174010735239,0.087379852702534,0.191486705779553,0.0782673823492697,0.159031331918612
"L0462",180,-0.0302376447168274,0.137927907015886,0.383333333333333,111,149,74,163,147,252,79,132,0.100271002710027,0.134598012646793,0.0668473351400181,0.147244805781391,0.132791327913279,0.227642276422764,0.0713640469738031,0.119241192411924
"L0463",4173,0.00172672506073607,0.437837792918087,0.173256649892164,600,1084,490,828,808,967,631,989,0.0937939659215257,0.16945443176489,0.0765984055025793,0.129435672971705,0.126309207440988,0.151164608410192,0.0986399874941379,0.154603720493982
"L0464",9077,-0.0309284176933271,0.310040714653151,0.260438470860416,3473,4638,2993,5042,3552,7381,2639,4736,0.100801068090788,0.134614268299762,0.0868694491205666,0.146340047599698,0.103093980379637,0.214227665873338,0.0765948801300285,0.137458640506182
"L0465",4055,0.0125034669203451,0.236384691956502,0.208384710234279,703,1053,620,919,826,1211,664,1141,0.0985007706319182,0.147540983606557,0.086871234412218,0.128765587781981,0.115734902620149,0.169679136892252,0.0930362897576012,0.159871094297324
"L0466",7373,0.0087309479794718,0.228526122067995,0.262444052624441,2835,4278,2478,4101,2823,3923,2174,5358,0.101358598498391,0.152949588845191,0.0885949231319271,0.146621380050054,0.100929567393636,0.140257418662853,0.077726135144798,0.19156238827315
"L0467",4817,0.00328374032516684,0.196140596675401,0.272991488478306,1277,1909,943,1758,1056,1926,1126,1942,0.106978302756136,0.159922928709056,0.0789980732177264,0.14727318421714,0.0884644383010807,0.161347072128676,0.0943285582642205,0.162687442405965
"L0468",1456,-0.0116272453748998,0.269177733418889,0.337912087912088,857,1071,643,1198,743,1120,644,935,0.11884620718347,0.148523089724033,0.0891693246429067,0.166135071418666,0.103037026764665,0.155318263763694,0.0893080016641243,0.129663014838441
"L0469",160,-0.0407856545217562,0.179736224256157,0.4125,107,112,120,167,48,154,91,131,0.11505376344086,0.120430107526882,0.129032258064516,0.179569892473118,0.0516129032258065,0.165591397849462,0.0978494623655914,0.140860215053763
"L0470",127,-0.0230902299473059,0.134768668507396,0.362204724409449,51,87,50,101,46,79,43,90,0.093235831809872,0.159049360146252,0.0914076782449726,0.184643510054845,0.0840950639853748,0.144424131627057,0.0786106032906764,0.164533820840951
"L0473",117,0.0968367081449258,0.313798921673103,0.102564102564103,12,86,14,42,49,22,33,115,0.032171581769437,0.230563002680965,0.0375335120643432,0.112600536193029,0.131367292225201,0.0589812332439678,0.0884718498659517,0.308310991957105
"L0474",10,-0.0448671023965142,0.175663368381438,0.5,6,8,9,5,6,9,2,6,0.117647058823529,0.156862745098039,0.176470588235294,0.0980392156862745,0.117647058823529,0.176470588235294,0.0392156862745098,0.117647058823529
"L0475",9,-0.0117729492729493,0.0843973804768254,0.444444444444444,3,12,6,13,6,10,9,9,0.0441176470588235,0.176470588235294,0.0882352941176471,0.191176470588235,0.0882352941176471,0.147058823529412,0.132352941176471,0.132352941176471
"L0476",40,0.0407642534743677,0.102495607066001,0.125,10,21,2,12,19,9,7,23,0.0970873786407767,0.203883495145631,0.0194174757281553,0.116504854368932,0.184466019417476,0.087378640776699,0.0679611650485437,0.223300970873786
"L0477",14,0.0326726844583987,0.133745294225683,0.214285714285714,1,15,1,12,4,3,2,12,0.02,0.3,0.02,0.24,0.08,0.06,0.04,0.24
"L0478",14,-0.0141108403278789,0.11799844819447,0.5,7,9,5,12,7,12,5,12,0.101449275362319,0.130434782608696,0.072463768115942,0.173913043478261,0.101449275362319,0.173913043478261,0.072463768115942,0.173913043478261
"L0479",15,-0.0662033645366979,0.205969264279105,0.333333333333333,7,6,16,9,6,14,3,10,0.0985915492957746,0.0845070422535211,0.225352112676056,0.126760563380282,0.0845070422535211,0.197183098591549,0.0422535211267606,0.140845070422535
"L0480",143,-0.00964227326760563,0.1666539988969,0.328671328671329,34,60,69,82,27,60,36,52,0.080952380952381,0.142857142857143,0.164285714285714,0.195238095238095,0.0642857142857143,0.142857142857143,0.0857142857142857,0.123809523809524
"L0481",170,-0.0176829180031529,0.240377638758775,0.323529411764706,53,97,48,80,74,138,65,145,0.0757142857142857,0.138571428571429,0.0685714285714286,0.114285714285714,0.105714285714286,0.197142857142857,0.0928571428571429,0.207142857142857
"L0482",1775,0.000478262496326642,0.227522761600418,0.274929577464789,473,712,503,799,636,951,451,1315,0.0809931506849315,0.121917808219178,0.0861301369863014,0.136815068493151,0.108904109589041,0.162842465753425,0.0772260273972603,0.225171232876712
"L0483",125,0.101205374715631,0.397084115256298,0.2,20,68,21,48,67,41,29,79,0.0536193029490617,0.18230563002681,0.0563002680965147,0.128686327077748,0.179624664879357,0.109919571045576,0.0777479892761394,0.211796246648794
"L0484",19,-0.0730082385151195,0.152105373824314,0.526315789473684,19,21,11,41,5,12,7,13,0.147286821705426,0.162790697674419,0.0852713178294574,0.317829457364341,0.0387596899224806,0.0930232558139535,0.0542635658914729,0.10077519379845
"L0485",4915,0.016472444732808,0.242863407702807,0.252288911495422,1580,2436,1420,2386,1799,2420,1399,2864,0.0969087340529931,0.149411187438665,0.0870951913640824,0.146344455348381,0.11034102060844,0.148429833169774,0.0858071638861629,0.175662414131501
"L0486",7652,0.00297917423731913,0.281932369775435,0.257318348144276,2122,3015,1872,3057,1831,3059,1893,3286,0.105388626769307,0.149739259995034,0.0929724360566178,0.151825180034765,0.0909361807797368,0.151924509560467,0.0940153960764837,0.163198410727589
"L0487",2117,0.0351049757558704,0.226265469558421,0.211620217288616,413,1129,376,728,872,790,533,1343,0.0667852522639069,0.182567917205692,0.0608020698576973,0.117723156532988,0.141009055627426,0.127749029754204,0.0861901681759379,0.217173350582147
"L0488",290,-0.0619464649228045,0.230117654381959,0.4,130,143,72,255,55,127,101,104,0.131712259371834,0.144883485309017,0.0729483282674772,0.258358662613982,0.0557244174265451,0.128672745694022,0.102330293819656,0.105369807497467
"L0489",112,0.0285585908095759,0.171275489245919,0.267857142857143,52,104,43,74,75,111,40,95,0.0875420875420875,0.175084175084175,0.0723905723905724,0.124579124579125,0.126262626262626,0.186868686868687,0.0673400673400673,0.15993265993266
"L0490",84,0.0188813757947212,0.153290757413983,0.380952380952381,52,73,46,77,50,78,30,88,0.105263157894737,0.147773279352227,0.0931174089068826,0.15587044534413,0.101214574898785,0.157894736842105,0.0607287449392713,0.178137651821862
"L0491",16,-0.060646350931677,0.313150227109924,0.375,5,0,7,3,0,7,5,6,0.151515151515152,0,0.212121212121212,0.0909090909090909,0,0.212121212121212,0.151515151515152,0.181818181818182
"L0492",3679,0.00452176095989696,0.289126807059519,0.226963848871976,602,1309,1304,982,1043,1068,654,1530,0.0708902496467263,0.154145077720207,0.153556288271314,0.1156382477626,0.122821479039096,0.125765426283561,0.0770136599152143,0.180169571361281
"L0493",961,-0.00261874905444577,0.294364185766986,0.221644120707596,277,283,487,355,212,314,195,513,0.105083459787557,0.107359635811836,0.184749620637329,0.134673748103187,0.0804248861911988,0.119119878603945,0.0739757207890744,0.194613050075873
"L0494",125,0.0401799346483422,0.2276866696496,0.208,35,80,30,52,68,85,38,71,0.0762527233115468,0.174291938997821,0.065359477124183,0.113289760348584,0.148148148148148,0.185185185185185,0.0827886710239651,0.154684095860566
"L0495",2194,0.0378263772099213,0.230821241367159,0.218778486782133,515,1072,648,810,859,929,636,1338,0.0756574114881739,0.1574849419715,0.0951961216394888,0.118995152049361,0.126193624210372,0.136477155868958,0.0934332304980167,0.19656236227413
"L0499",53,0.0129590866746951,0.117051054079979,0.226415094339623,11,13,3,19,2,13,8,8,0.142857142857143,0.168831168831169,0.038961038961039,0.246753246753247,0.025974025974026,0.168831168831169,0.103896103896104,0.103896103896104
"L0500",183,0.0272965417300948,0.198040775812175,0.262295081967213,58,93,47,67,56,96,32,91,0.107407407407407,0.172222222222222,0.087037037037037,0.124074074074074,0.103703703703704,0.177777777777778,0.0592592592592593,0.168518518518519
