"doc_id","prop_ADJ","prop_ADP","prop_ADV","prop_AUX","prop_CCONJ","prop_DET","prop_NOUN","prop_NUM","prop_PRON","prop_PROPN","prop_SCONJ","prop_VERB","n_palabras_anot","razon_sust_verbo","nominalizaciones_x1000","dist_dependencia_media","profundidad_arbol_media","subordinadas_por_oracion"
"L0087",0.0581061068037285,0.123529924209426,0.0769230769230769,0.0614164996950954,0.0589772628277725,0.115166826378604,0.149490373725934,0.00392020210819758,0.128234166739263,0.0093213694572698,0.054185904695531,0.160728286436101,11497,0.930081300813008,10.9593807080108,2.60055813953488,4.764,1.40266666666667
"L0088",0.0643619140365632,0.142534637687575,0.04360143419946,0.021512991899429,0.0446638041698021,0.149218715417644,0.208755699172237,0.00637421982205303,0.0572794475676154,0.132353592138462,0.0222655039617547,0.107078039927405,23779,1.94956593633733,12.7423356743345,2.65059170213761,3.89731494920174,0.397677793904209
"L0089",0.0614529976192194,0.142154245725417,0.0553783998268523,0.036808311088666,0.0527956135920929,0.158228122069115,0.197936656806868,0.00243849650097396,0.0816968472693168,0.0184113700310223,0.0427241901738691,0.149974749296588,69377,1.31979988454878,24.5182120875795,2.4931504743162,5.19046522339936,1.29686780285583
"L0090",0.086976320582878,0.158697632058288,0.040983606557377,0.0168488160291439,0.0396174863387978,0.186247723132969,0.21379781420765,0.00273224043715847,0.0573770491803279,0.0646630236794171,0.0204918032786885,0.111566484517304,4425,1.91632653061225,12.2033898305085,2.73243826420523,4.9618320610687,0.824427480916031
"L0091",0.0596848775475253,0.155292002055146,0.0481674944339784,0.0217074841582463,0.0565593423531427,0.170191813666724,0.224225038533996,0.00500941942113376,0.0622966261346121,0.0306131186847063,0.0336530227778729,0.132599760232917,23403,1.6909912818857,15.3826432508653,2.7644646518677,6.06385169927909,1.69412976313079
"L0093",0.0690789473684211,0.149210526315789,0.0411842105263158,0.0289473684210526,0.0313157894736842,0.174868421052632,0.236842105263158,0.00842105263157895,0.0609210526315789,0.0280263157894737,0.0365789473684211,0.134605263157895,7666,1.75953079178886,10.9574745630055,2.26746987951807,3.05564516129032,0.386290322580645
"L0094",0.0341862845445241,0.126816786079836,0.0560900716479017,0.0321392016376663,0.0631525076765609,0.147697031729785,0.174206755373593,0.00388945752302968,0.0973387922210849,0.0447287615148413,0.0348004094165814,0.184953940634596,9790,0.941892639734366,3.06435137895812,2.3055617352614,4.43071161048689,0.853932584269663
"L0095",0.0586105067892436,0.136862421485518,0.0642301318293107,0.0376596716884109,0.0494922559657367,0.13765353374844,0.17880501128699,0.0049921911763703,0.100109800926147,0.0340792067053584,0.0415743134032149,0.15593095499526,147112,1.14669349195241,14.2680406764914,2.50218835281396,4.58834569666637,1.02341585485745
"L0096",0.0568616939807015,0.147112880992495,0.05517690304794,0.0351891560729055,0.0551003216419053,0.164420278756318,0.204434063409404,0.00681574513708072,0.0683489048858937,0.0447618318272323,0.0291009342931536,0.13267728595497,26175,1.54083694083694,7.52626552053486,2.48125937031484,5.16978609625668,1.05414438502674
"L0097",0.0485232067510548,0.126582278481013,0.0559071729957806,0.0432489451476793,0.0485232067510548,0.172995780590717,0.209915611814346,0.0147679324894515,0.0727848101265823,0.0369198312236287,0.0443037974683544,0.125527426160338,953,1.67226890756303,8.39454354669465,2.38566552901024,4.52702702702703,0.675675675675676
"L0098",0.0420546944232832,0.139472334074408,0.0673652461870929,0.0471852116727041,0.0422723527308344,0.130672719640553,0.159761197742572,0.00799116929152221,0.113648730585656,0.0303944279473267,0.0532951913061053,0.165886724397942,64459,0.963074039362699,11.5422206363735,2.54904509549045,4.77792702037161,1.33243787777032
"L0099",0.0555925802510274,0.158724869487948,0.0372098189492391,0.0279906697767411,0.0369321337332,0.200488725980229,0.242530267688548,0.00366544485171609,0.0692546928801511,0.016327890703099,0.0331000777518605,0.11818282794624,18050,2.05216165413534,11.7451523545706,2.58283338283338,4.73026315789474,0.940789473684211
"L0100",0.0316205533596838,0.117557057248502,0.064388626800969,0.0279867397679459,0.0383781716180033,0.134323600663012,0.164860385056739,0.00835139614943261,0.0946066556164733,0.127438480173403,0.0243529261762081,0.166135407369629,15801,0.992325402916347,5.06297069805708,2.02950441797925,3.17467718794835,0.271520803443329
"L0101",0.0439028097038318,0.146906286213644,0.0505518721860218,0.0241645927924163,0.0519006820038375,0.154144265658542,0.19151199680845,0.00478732498717681,0.0848420372727445,0.0558521248503961,0.0427249757784152,0.148711031744524,52778,1.28781297904957,9.03785668270871,2.52771395170718,5.12469660194175,1.20236650485437
"L0102",0.0504325118328709,0.126244491594581,0.0717316794516076,0.0412518361351395,0.0371715358250367,0.131100048963604,0.176472988411947,0.00677329851477069,0.0944997551819814,0.0978864044393667,0.0331320385180349,0.133303411131059,24673,1.32384450566269,12.3211607830422,2.54121299170644,3.50806972240155,0.480632666236281
"L0104",0.054307948860478,0.152418010005559,0.0549193996664814,0.0269038354641467,0.0400407633870669,0.160867148415787,0.202390216787104,0.00605892162312396,0.0889568278673337,0.0282564387622753,0.0340188993885492,0.150861589772096,54080,1.3415622697126,10.262573964497,2.41012296140323,4.88995726495726,1.12019230769231
"L0105",0.0543486973947896,0.130460921843687,0.0595190380761523,0.0323847695390782,0.0396793587174349,0.155511022044088,0.194949899799599,0.00432865731462926,0.0796392785571142,0.0467334669338677,0.0292585170340681,0.173186372745491,25040,1.12566535524184,5.91054313099042,2.42458398047482,3.91845664280032,0.661893396976929
"L0106",0.0511740890688259,0.140625101214575,0.0557344129554656,0.0363271255060729,0.0400777327935223,0.157965991902834,0.19667044534413,0.00917246963562753,0.0777846153846154,0.0479222672064777,0.0326283400809717,0.153917408906883,154746,1.27776608728589,11.3540899280111,2.43196000567295,4.15585454545455,0.723781818181818
"L0108",0.081185368112363,0.137521222410866,0.0209908936564285,0.0197561352060503,0.0279364099398055,0.155888254360241,0.227041210063281,0.00802592992745794,0.0381231671554252,0.173483562278129,0.0152801358234295,0.0947677110665226,7609,2.3957654723127,10.5138651596793,2.13655828707375,3.24508320726172,0.139183055975794
"L0109",0.0665658093797277,0.151285930408472,0.0506807866868381,0.0257186081694402,0.0431164901664145,0.170196671709531,0.232980332829047,0.00151285930408472,0.0514372163388805,0.0703479576399395,0.0287443267776097,0.107413010590015,1323,2.16901408450704,18.140589569161,2.80288461538462,4.81609195402299,0.919540229885057
"L0110",0.0504325118328709,0.126244491594581,0.0717316794516076,0.0412518361351395,0.0371715358250367,0.131100048963604,0.176472988411947,0.00677329851477069,0.0944997551819814,0.0978864044393667,0.0331320385180349,0.133303411131059,24673,1.32384450566269,12.3211607830422,2.54121299170644,3.50806972240155,0.480632666236281
"L0111",0.0486142971232434,0.142631391140337,0.0720038741907529,0.0481894955055989,0.0451479159232638,0.131552564952167,0.156165570678493,0.00477477018232485,0.0974240029906034,0.0492260114526516,0.0528283291702775,0.151441776690286,117912,1.03119214586255,18.0812809552887,2.55273206532042,5.14545964125561,1.50504484304933
"L0112",0.0472956257730799,0.143011357247273,0.0609243225008434,0.0280895086022715,0.0529854942089284,0.149240976048578,0.185651636118295,0.0092432250084336,0.0878893511750815,0.0424153828854155,0.0332396266726639,0.160013493759136,44551,1.16022487702038,6.46450135799421,2.65304301697531,4.67553536664504,1.11907852044127
"L0113",0.0595065312046444,0.114417029511369,0.0761973875181422,0.0324141267537494,0.0537010159651669,0.133043057571359,0.183841315916788,0.00532172230285438,0.098451862602806,0.0478955007256894,0.0411223996129656,0.154088050314465,4161,1.19309262166405,5.76784426820476,2.66197890507283,6.7,2.28888888888889
"L0115",0.0673393039337944,0.155651286702188,0.0603106223784151,0.0263008729169028,0.0428522843215055,0.148962702641424,0.196689717719079,0.00192721913615236,0.0794694479084004,0.0354835052715112,0.038771114386124,0.146241922684503,8848,1.34496124031008,9.15461121157324,2.48523364485981,4.01944106925881,0.735115431348724
"L0116",0.0673393039337944,0.155651286702188,0.0603106223784151,0.0263008729169028,0.0428522843215055,0.148962702641424,0.196689717719079,0.00192721913615236,0.0794694479084004,0.0354835052715112,0.038771114386124,0.146241922684503,8848,1.34496124031008,9.15461121157324,2.48523364485981,4.01944106925881,0.735115431348724
"L0117",0.0712477573791442,0.124210474575438,0.03595566369289,0.0215291602152916,0.0419769470864361,0.138120868047875,0.19179630858463,0.0067094300670943,0.0434515471011821,0.192902258595689,0.027452136941188,0.104647447713141,51237,1.8327853452325,8.43140699104163,3.09127652408218,4.86945101129498,0.5324402416601
"L0118",0.0519701086956522,0.156759510869565,0.054585597826087,0.0373641304347826,0.0431725543478261,0.163654891304348,0.203770380434783,0.00832201086956522,0.0608695652173913,0.0440217391304348,0.0338994565217391,0.141610054347826,29483,1.43895418565603,14.0419902994946,2.57531282680033,5.11149032992036,1.19908987485779
"L0119",0.0642056750406651,0.154211097054039,0.0386318452918851,0.0226820892824869,0.0423368877643232,0.176757636002169,0.226775709380083,0.00727453461051871,0.0720675944333996,0.0214169528284836,0.0411621181998916,0.132477860112055,22200,1.71180081855389,9.36936936936937,2.83470680703092,5.14047619047619,1.30952380952381
"L0120",0.0695922426653406,0.134273993038289,0.0447041272998508,0.0204251616111387,0.0353804077573347,0.135206364992541,0.211437095972153,0.00667578319244157,0.0612257583291895,0.125683739433118,0.0299229239184485,0.125472401790154,93528,1.68512830674725,10.210845949876,2.77320486402029,5.09933184855234,0.719227913882702
"L0121",0.0577136514983352,0.134597921501362,0.0756734940974675,0.0291931523896008,0.0392829516025964,0.152221437460061,0.196347492684896,0.00454040964584805,0.0875121918407157,0.034069888675882,0.040392829516026,0.148454579087209,30145,1.32260987766198,12.9374689003151,2.63251084405888,4.77405247813411,1.17881438289602
"L0122",0,0,0,0,0,0,1,0,0,0,0,0,35,35,0,NA,2,0
"L0123",0.016025641025641,0.161858974358974,0.0913461538461538,0.0208333333333333,0.0432692307692308,0.165064102564103,0.181089743589744,0.00961538461538462,0.0512820512820513,0.0865384615384615,0.0192307692307692,0.153846153846154,624,1.17708333333333,11.2179487179487,2.13176895306859,3.91428571428571,0.328571428571429
"L0125",0.0364520048602673,0.111786148238153,0.0522478736330498,0.0364520048602673,0.0741190765492102,0.128797083839611,0.228432563791009,0.0449574726609964,0.0753341433778858,0.0486026731470231,0.0364520048602673,0.12636695018226,826,1.80769230769231,2.42130750605327,2.1875,3.37704918032787,0.352459016393443
"L0126",0.0309837335398916,0.122385747482572,0.0666150271107668,0.0302091402013943,0.0472501936483346,0.147947327652982,0.185127807900852,0.00464756003098373,0.0759101471727343,0.104570100697134,0.0224632068164214,0.161890007745933,1299,1.14354066985646,1.53964588144727,2.13703382480486,3.81632653061224,0.530612244897959
"L0127",0.0518867924528302,0.117924528301887,0.0377358490566038,0.0117924528301887,0.0471698113207547,0.113207547169811,0.158018867924528,0.00471698113207547,0.0683962264150943,0.25,0.0259433962264151,0.113207547169811,434,1.39583333333333,23.0414746543779,3.27272727272727,3.73170731707317,0.560975609756098
"L0130",0.0729898516783763,0.0964090554254489,0.055815768930523,0.0343481654957065,0.0370804059328649,0.115925058548009,0.20647931303669,0.0039032006245121,0.0655737704918033,0.131928181108509,0.0206869633099141,0.158860265417642,2572,1.2997542997543,3.49922239502333,2.20257234726688,3.50126582278481,0.324050632911392
"L0132",0.0409252669039146,0.0640569395017794,0.0925266903914591,0.0391459074733096,0.103202846975089,0.142348754448399,0.185053380782918,0.00533807829181495,0.096085409252669,0.0320284697508897,0.0106761565836299,0.188612099644128,566,0.981132075471698,0,2.71785028790787,4.53333333333333,0.533333333333333
"L0133",0.046943231441048,0.156113537117904,0.0534934497816594,0.0196506550218341,0.0622270742358079,0.147379912663755,0.235807860262009,0.00218340611353712,0.091703056768559,0,0.0425764192139738,0.141921397379913,918,1.66153846153846,13.0718954248366,2.66900584795322,4.41269841269841,1.04761904761905
"L0134",0.0481203007518797,0.111278195488722,0.0842105263157895,0.0315789473684211,0.0571428571428571,0.141353383458647,0.174436090225564,0,0.0781954887218045,0.0466165413533835,0.0330827067669173,0.193984962406015,667,0.89922480620155,7.49625187406297,2.71135646687697,5.78787878787879,1.81818181818182
"L0137",0.0619099890230516,0.119209659714599,0.0643249176728869,0.0302963776070252,0.0465422612513721,0.156531284302964,0.19231613611416,0.00636663007683864,0.0779363336992316,0.0531284302963776,0.0188803512623491,0.172557628979144,4569,1.11450381679389,5.03392427226964,2.06400602409639,3.58119658119658,0.372649572649573
"L0140",0.0313609467455621,0.119526627218935,0.0698224852071006,0.0609467455621302,0.0627218934911243,0.163905325443787,0.191715976331361,0.000591715976331361,0.0881656804733728,0.0372781065088757,0.0343195266272189,0.139644970414201,1694,1.3728813559322,1.18063754427391,2.2797385620915,4.0969696969697,0.557575757575758
"L0145",0.0527426160337553,0.137130801687764,0.0443037974683544,0.040084388185654,0.0485232067510548,0.156118143459916,0.191983122362869,0.00632911392405063,0.0822784810126582,0.040084388185654,0.0421940928270042,0.158227848101266,474,1.21333333333333,4.21940928270042,2.48878923766816,5.35714285714286,1.39285714285714
"L0147",0.0520361990950226,0.101809954751131,0.0542986425339367,0.00904977375565611,0.0656108597285068,0.167420814479638,0.233031674208145,0,0.113122171945701,0.0294117647058824,0.0135746606334842,0.160633484162896,445,1.45070422535211,6.74157303370786,2.4572864321608,3.72340425531915,0.404255319148936
"L0148",0.0532994923857868,0.114213197969543,0.0888324873096447,0.0583756345177665,0.0355329949238579,0.131979695431472,0.16497461928934,0,0.0583756345177665,0.083756345177665,0.032994923857868,0.177664974619289,395,0.928571428571429,0,1.96805111821086,2.75609756097561,0.195121951219512
"L0149",0.0416512402813773,0.141614216956683,0.0653461680858941,0.0333209922251018,0.0472047389855609,0.116808589411329,0.159200296186598,0.00666419844502036,0.0981118104405776,0.0862643465383191,0.0288781932617549,0.174935209181785,5411,0.91005291005291,4.62021807429311,2.32034278718629,4.03725490196078,0.73921568627451
