"doc_id","n_palabras","n_oraciones","long_oracion_media","letras_por_palabra","silabas_por_palabra","ari","rix","flesch_kincaid","fernandez_huerta","szigriszt_pazos","perfil_mu","tokens","tipos","ttr","mtld","hdd","yule_k","entropia_shannon","hapax_ratio","maas","mattr_50","mattr_100","zipf_pendiente","inflesz"
"L0068",102472,7718,13.277014770666,4.3335252556796,1.89486884222031,5.61941133958391,2.80966571650687,11.9474880987594,79.6053144007019,75.5076563590085,62.3240281685146,102472,11484,0.112069638535405,93.5634361641023,0.843908312770846,108.994553078686,9.46007739537752,0.541884360849878,0.0378597067324923,0.809304160198417,0.718286657614806,-1.05472118125678,"bastante facil"
"L0069",14974,1230,12.1739837398374,4.05516228128756,1.74014959262722,3.75680621478313,1.89512195121951,9.69161885153779,90.0135610277326,86.2496966394868,68.1975141951518,14974,3286,0.219447041538667,92.7120580411353,0.870262580023186,84.0349798963232,9.08348184352354,0.68746195982958,0.0377819893024606,0.814178894472351,0.721670588235274,-1.0247637033524,"muy facil"
"L0071",5185,498,10.4116465863454,4.79209257473481,2.03876567020251,6.34657932017366,2.74497991967871,12.5279770770643,73.8941802697773,69.4082521600384,28.4382128388063,5185,1620,0.312439729990357,69.6633970619826,0.827146212730861,135.736849397742,8.55874051301508,0.672222222222222,0.0366128433781904,0.77606308411218,0.685729453401489,-1.03593181858021,"bastante facil"
"L0072",21500,2695,7.97773654916512,4.07744186046512,1.72576744186047,1.76361943737326,1.35621521335807,7.88537306812789,95.1566622082237,91.3419518229279,74.5868904046824,21500,4006,0.186325581395349,90.6294832029811,0.861912204967046,91.4245105462412,9.13445183115761,0.614328507239141,0.0388772839868053,0.811138874644504,0.717991682631614,-1.02909176798682,"muy facil"
"L0073",167573,10354,16.1843731891057,4.46798111867664,1.92190269315463,7.70637766351979,3.58663318524242,13.4003573229758,75.0177777578347,70.9160890273612,62.8986938483049,167573,13537,0.0807827036575105,92.0271343648979,0.851845524085662,104.817305029506,9.5344757131642,0.502622442195464,0.0400362483009203,0.808582889616075,0.717711644792617,-1.0947628415537,"bastante facil"
"L0074",12944,1004,12.8924302788845,4.48508961681088,1.94174907292954,6.14098723462146,2.90737051792829,12.3506868693335,77.1847767397653,72.971602477605,65.5876628694375,12944,3212,0.24814585908529,109.848379418986,0.861609734884538,93.9532622031808,9.20851924467445,0.644769613947696,0.0357968610597186,0.82506552927489,0.73994316854805,-0.945323560254269,"bastante facil"
"L0075",30963,1345,23.0208178438662,4.48803410522236,1.92629913122113,11.2190495575304,5.39033457249071,16.1184487075172,67.7808179259884,63.8057462810571,59.5440921860575,30963,6124,0.197784452410942,86.5934470259086,0.832285703412767,130.504264435251,9.36707240468489,0.61152841280209,0.0348978246265931,0.800028466067075,0.710062856402232,-0.948444669545865,"normal"
"L0076",451306,31409,14.3686841351205,4.47653033640147,1.91690117126739,6.83879995201116,3.33420357222452,12.6332206336522,77.1698719061338,73.0433728949212,61.7587717485813,451306,25816,0.0572028734384209,84.9682323796194,0.848427086050799,110.438936913213,9.78544818390537,0.464595599628138,0.0388634305279487,0.800356781169744,0.709754281294555,-1.12597728608368,"bastante facil"
"L0077",59357,2138,27.7628624883068,4.27511498222619,1.81639907677275,12.5872228104388,5.33068288119738,16.6710254763581,69.5379356555622,65.910475028751,71.8565270495775,59357,6058,0.102060414104486,72.6086301062397,0.839271762229884,115.609133971219,8.99303898083303,0.5122152525586,0.0434978134824713,0.785706818641584,0.681226163555965,-1.08786111552445,"bastante facil"
"L0078",3594,478,7.51882845188284,4.22871452420701,1.87924318308292,2.24665963495645,1.418410041841,9.51741265661272,86.4162039941045,82.2393212420515,65.6728121715855,3594,942,0.262103505843072,48.3926289163042,0.801795731392121,159.783711738695,7.90050240047454,0.629511677282378,0.0459991251578628,0.74138787023979,0.636689556509298,-0.998853245188562,"muy facil"
