TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Chubutisaurus_insignis;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;105;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Chubutisaurus;https://www.mindat.org/
Ligabuesaurus_lenzai;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;122;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;109;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Ligabuesaurus;https://www.mindat.org/
Wintonotitan_wattsi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;101;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;extinct ;Australia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Wintonotitan;https://www.mindat.org/
Malarguesaurus_florenciae;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;85.8;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Malarguesaurus;https://www.mindat.org/
Andesaurus_delgadoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Andesaurus;https://www.mindat.org/
Dreadnoughtus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Titanosauridae;Dreadnoughtus;https://www.mindat.org/
Epachthosaurus_sciuttoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Epachthosaurus;https://www.mindat.org/
Malawisaurus_dixeyi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;Malawi;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Malawisaurus;https://www.mindat.org/
Isisaurus_colberti;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;India;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Isisaurus;https://www.mindat.org/
Nemegtosaurus_mongoliensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Mongolia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Nemegtosauridae;Nemegtosaurus;https://www.mindat.org/
Rapetosaurus_krausei;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Madagascar;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Rapetosaurus;https://www.mindat.org/
Tapuiasaurus_macedoi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;Brasil;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Nemegtosauridae;Tapuiasaurus;https://www.mindat.org/
Trigonosaurus_pricei;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brasil;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Saltasauridae;"	Trigonosaurus";https://www.mindat.org/
Alamosaurus_sanjuanensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Alamosaurus;https://www.mindat.org/
Opisthocoelicaudia_skarzynskii;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Mongolia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Saltasauridae;Opisthocoelicaudia;https://www.mindat.org/
Neuquensaurus_australis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Saltasauridae;Neuquensaurus;https://www.mindat.org/
Saltasaurus_loricatus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Saltasauridae;Saltasaurus ;https://www.mindat.org/
Notocolossus_gonzalesparejasi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Titanosauridae;Notocolossus;https://www.mindat.org/
Baurutitan_britoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brasil;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Titanosauridae;Baurutitan;https://www.mindat.org/
Rinconsaurus_caudamirus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;86.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Rinconsaurus;https://www.mindat.org/
Muyelensaurus_pecheni;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Muyelensaurus;https://www.mindat.org/
