Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
CBS1387;AFG;Bakery;Bakery;NA;yes;A;16;1;euploid;homozygous;57,359;0.0;183;678;M3. Mosaic region 3;;CBS collection (Nguyen H.V.);
YJM1307;SACE_YBU;Unknown;Human, clinical;Washington DC, USA;no;A;51;2;euploid;homozygous;57,372;0.0;130;419;M3. Mosaic region 3;;Phaff collection;2
YJM1208;SACE_YBM;Unknown;Human, clinical;Michigan, USA;no;B;94;2;euploid;homozygous;51,589;0.0;163;142;M3. Mosaic region 3;;;2
YJM421_b;ABC;Ascites fluid;Human, clinical;USA;yes;B;17;1;euploid;homozygous;51,278;0.0;9;204;M3. Mosaic region 3;;;1
YJM1615;SACE_YDL;Clinical;Human, clinical;California, USA;no;B;108;2;euploid;homozygous;51,882;0.0;7;95;M3. Mosaic region 3;;;2
YJM1083;SACE_YDN;Clinical;Human, clinical;North Carolina, USA;no;B;75;2;euploid;homozygous;52,360;0.0;464;350;M3. Mosaic region 3;;Phaff collection;2
Ponton 11;CIC;Mouth;Human, clinical;Spain;no;B;49;2;euploid;heterozygous;68,564;41.1;825;227;M3. Mosaic region 3;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
CCY_21-4-93:6B;CDK;Leaves of Sequoia sp.;Tree;North Korea;yes;C;154;1;euploid;homozygous;58,780;0.0;1,011;165;M3. Mosaic region 3;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
CCY_21-4-89:7-3;CEM;Fermenting acorn meal;Fermentation;North Korea;yes;C;32;1;euploid;homozygous;57,683;0.0;865;203;M3. Mosaic region 3;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
Ponton 14;CIF;Feces;Human, clinical;Spain;no;B;25;2;euploid;heterozygous;70,667;39.3;1,554;175;M3. Mosaic region 3;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
Ponton 12;CID;Mouth;Human, clinical;Spain;no;B;130;2;euploid;heterozygous;66,691;35.3;894;235;M3. Mosaic region 3;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
2281;BBT;Grapes, Picudo variety;Wine;Valdevimbre, Spain;no;B;39;3;euploid;heterozygous;89,544;59.4;5,186;239;M3. Mosaic region 3;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
B9b-1;CHN;Levain from organic flour (Renan);Bakery;Gif-sur-Yvette;no;A;8;2;euploid;heterozygous;76,575;48.0;32;218;M3. Mosaic region 3;yes;INRA Moulon, France (Sicard D.);
B9c-1;CHP;Levain from organic flour (Renan);Bakery;Gif-sur-Yvette;no;A;8;2;euploid;heterozygous;76,117;47.6;30;224;M3. Mosaic region 3;yes;INRA Moulon, France (Sicard D.);
RIB6002;CMG;Sake;Sake;Japan;no;B*;26;3;"aneu;-1*1;+1*8;";heterozygous;87,649;60.2;2,011;194;M3. Mosaic region 3;;National Research Institute of Brewing, Hiroshima;
CLQCA_17-111;CRE;Termite mound;Insect;Ecuador;no;none;0;3;euploid;heterozygous;88,842;59.1;5,174;221;M3. Mosaic region 3;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
MAJ_A;BDM;Plant material;Nature;Majunga, Madagascar;no;B;103;2;euploid;heterozygous;71,939;32.9;4,822;204;M3. Mosaic region 3;;National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts);
Y10_1b;ACI;Coconut;Fruit;Philippines;yes;C;34;1;euploid;homozygous;62,994;0.0;2,274;183;M3. Mosaic region 3;;;1
YJM1419;SACE_YCS;Bagasse;Unknown;NA;no;B;55;2;euploid;homozygous;55,184;0.0;932;55;M3. Mosaic region 3;;;2
Y3_1b;ACL;Palm wine;Palm wine;NA;yes;none;0;1;"aneu;+1*12;";homozygous;64,550;0.0;2,562;212;M3. Mosaic region 3;;;1
MUCL_30909-2C;CEQ;Cassava;Fermentation;Burundi;no;A;18;2;euploid;homozygous;67,476;0.0;4,348;161;M3. Mosaic region 3;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DJ68;BAB;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;82,692;27.0;40;268;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ65;AVV;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;82,391;26.2;12;307;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ66;BAA;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;81,257;24.8;12;224;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ71;BAD;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;82,196;26.3;40;260;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ70;BAC;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;82,625;26.2;24;296;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ73;BAE;Palm wine;Palm wine;Yoboki, Djibouti;no;none;0;3;euploid;heterozygous;82,522;26.7;18;264;13. African palm wine ;;Université de Lyon (Michel Aigle);22
DJ74;BAF;Palm wine;Palm wine;Yoboki, Djibouti;no;C;13;2;euploid;heterozygous;87,289;28.3;5,785;202;13. African palm wine ;;Université de Lyon (Michel Aigle);22
Dji2-2A(a);CFA;Palm wine ;Palm wine;Djibouti;no;C;50;2;euploid;homozygous;74,035;0.0;1,885;277;13. African palm wine ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
SK1;SACE_GAL;Lab strain;Lab strain;USA;no;A;48;2;euploid;homozygous;68,401;0.0;21;24;13. African palm wine ;;Rosenstiel Basic Medical Sciences Research Center (James E Haber);6
FTPW4;CPS;Palm wine;Palm wine;Burkina Faso;no;none;0;3;euploid;heterozygous;88,636;25.6;3,234;219;13. African palm wine ;;Université de Lyon (Michel Aigle);22
FTPW3;CPT;Palm wine;Palm wine;Burkina Faso;no;none;0;2;"aneu;+1*9;";heterozygous;80,692;8.6;2,892;207;13. African palm wine ;;Université de Lyon (Michel Aigle);22
FTPW32;CQA;Palm wine;Palm wine;Burkina Faso;no;none;0;2;euploid;heterozygous;77,813;3.0;694;246;13. African palm wine ;;Université de Lyon (Michel Aigle);22
FTPW35;CQB;Palm wine;Palm wine;Burkina Faso;no;none;0;2;euploid;heterozygous;79,654;7.9;1,502;264;13. African palm wine ;;Université de Lyon (Michel Aigle);22
CBS1419;AHS;Wine;Wine;Ghana;yes;none;0;1;"aneu;+1*9;";homozygous;75,709;0.0;4,296;290;13. African palm wine ;;CBS collection (Nguyen H.V.);
CBS7903;ADV;Palm wine;Palm wine;Nigeria;yes;none;0;1;euploid;homozygous;7,359;0.0;2,592;219;13. African palm wine ;;CBS collection (Nguyen H.V.);
NPA06.1;AKG;Palm wine;Palm wine;Nigeria;no;none;0;2;euploid;homozygous;74,047;0.0;2,049;224;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
YJM195;SACE_YAC;Palm wine;Palm wine;Nigeria;no;none;0;2;euploid;homozygous;76,930;0.0;4,016;68;13. African palm wine ;;Phaff collection;2
YPS1009_b;ADF;Exudate from Quercus sp.;Tree;USA;yes;none;0;1;euploid;homozygous;75,878;0.0;18;271;13. African palm wine ;;Kruglyak Laboratory;1
NPA07.1;AKB;Palm wine;Palm wine;Nigeria;no;none;0;2;euploid;heterozygous;78,487;6.6;426;238;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
NPA05b1;AKD;Palm wine;Palm wine;Nigeria;no;none;0;3;euploid;heterozygous;78,831;6.3;1,022;201;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
NPA05a1;AKC;Palm wine;Palm wine;Nigeria;no;none;0;3;"aneu;+1*14;";heterozygous;79,612;8.8;1,120;225;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
NPA03.1;AKE;Palm wine;Palm wine;Nigeria;no;none;0;2;euploid;homozygous;75,530;0.0;324;194;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
NPA02-1;AKH;Palm wine;Palm wine;Nigeria;no;none;0;2;euploid;homozygous;75,887;0.0;297;234;13. African palm wine ;;INRA Montpelier, France (Legras JL);23
CBS400;APQ;Palm wine, from Elaeis guineensis;Palm wine;Ivory Coast;no;none;0;2;euploid;homozygous;75,577;0.0;18;245;13. African palm wine ;;CBS collection (Nguyen H.V.);
CBS403;APR;Ginger beer, from Zingiber officinale;Beer;West Africa;no;none;0;2;"aneu;+1*9;";homozygous;75,732;0.0;10;265;13. African palm wine ;;CBS collection (Nguyen H.V.);
Y5;ATP;Bili wine;Palm wine;West Africa;no;none;0;2;euploid;homozygous;75,885;0.0;15;348;13. African palm wine ;;Washington University School of Medicine (Justin C Fay);
YJM1248;SACE_YBP;Unknown;Wine;West Africa;no;none;0;2;euploid;homozygous;75,831;0.0;14;53;13. African palm wine ;;;2
YJM1439;SACE_YCV;Ginger beer;Beer;West Africa;no;none;0;2;"aneu;+1*8;";homozygous;75,194;0.0;11;36;13. African palm wine ;;;2
HN10;BAM;Rotten wood;Nature;Wuzhi Mountain, Hainan province, China;no;none;0;2;euploid;homozygous;84,486;0.0;105;221;14. CHNIII ;;Chinese Academy of Sciences (Feng-Yan Bai);24
HN19;BAQ;Bark from tree in Fagaceae family ;Tree;Wuzhi Mountain, Hainan province, China;no;none;0;2;euploid;homozygous;84,480;0.0;76;236;14. CHNIII ;;Chinese Academy of Sciences (Feng-Yan Bai);24
SX1;BAG;Bark from tree in Fagaceae family ;Tree;Qinling Mountain, Shaanxi province, China;no;none;0;2;euploid;homozygous;109,626;0.0;2,449;201;15. CHNII ;;Chinese Academy of Sciences (Feng-Yan Bai);24
SX3;BAH;Bark from Carya sp.;Tree;Qinling Mountain, Shaanxi province, China;no;none;0;2;euploid;homozygous;110,370;0.0;2,644;230;15. CHNII ;;Chinese Academy of Sciences (Feng-Yan Bai);24
HN6;BAL;Rotten wood;Nature;Bawangling Mountain, Hainan province, China;no;none;0;2;euploid;homozygous;126,303;0.0;45,722;237;16. CHNI;;Chinese Academy of Sciences (Feng-Yan Bai);24
EN14S01;AMH;Soil;Soil;Sinyi, Nantou, Taiwan;no;D;10;2;euploid;homozygous;166,452;0.0;161;228;17. Taiwanese ;;National Hsinchu University of Education (Ching-Fu Lee);25
EM14S01-3B;CEG;Soil ;Soil;Taiwan;no;D;45;2;euploid;homozygous;166,759;0.0;148;226;17. Taiwanese ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);25
GE14S01-7B;CEI;Soil;Soil;Taiwan;no;D;53;2;euploid;homozygous;166,118;0.0;1,708;193;17. Taiwanese ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);25
Ksc2-2B;CCQ;Tree exudate;Tree;Japan;no;none;0;2;euploid;homozygous;72,686;0.0;7,600;240;18. Far East Asia ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
Ksc40-8A;CCR;Tree exudate;Tree;Japan;no;none;0;2;euploid;homozygous;73,580;0.0;2,813;247;18. Far East Asia ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
Ksc73-2D;CCS;Tree exudate;Tree;Japan;no;none;0;2;euploid;homozygous;74,816;0.0;2,552;258;18. Far East Asia ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
BJ20;BAK;Bark from Quercus wutaishanica;Tree;Dongling Mountain, Beijing, China;no;none;0;2;euploid;homozygous;76,505;0.0;4,159;266;18. Far East Asia ;;Chinese Academy of Sciences (Feng-Yan Bai);24
BJ6;BAI;Persimmon;Fruit;Changping, Beijing, China;no;none;0;2;euploid;homozygous;77,220;0.0;3,485;265;18. Far East Asia ;;Chinese Academy of Sciences (Feng-Yan Bai);24
CLIB219_2b;ACQ;Wine;Wine;Russia;yes;none;0;1;euploid;homozygous;77,273;0.0;56;218;18. Far East Asia ;;CLIB collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);1
VKM_Y-504:S;CCN;Berries of Viburnum Burejanum;Fruit;Russian Far East;no;none;0;2;euploid;homozygous;77,912;0.0;35;262;18. Far East Asia ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
N51-1A;CDL;Exudate of Quercus mongolica;Tree;Vladivostok, Russian Far East;no;none;0;2;euploid;homozygous;78,120;0.0;1,343;261;18. Far East Asia ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
YJM1418;SACE_YCR;Quercus sp. ;Tree;Japan;no;none;0;2;euploid;homozygous;78,925;0.0;1,727;502;18. Far East Asia ;;Phaff collection;2
UWOPS03-429.1;BMA;Nectar, bertam palm;Tree;Malaysia;no;none;0;2;euploid;homozygous;78,549;0.0;16;209;19. Malaysian ;;University of Western Ontario, Canada (Lachance M.A.);9
UWOPS03-461.4;AKM;Nectar, Bertam palm;Tree;Malaysia;no;none;0;2;euploid;homozygous;78,382;0.0;22;200;19. Malaysian ;;University of Western Ontario, Canada (Lachance M.A.);9
UWOPS03-433.3;BMB;Nectar, bertam palm;Tree;Malaysia;no;none;0;2;euploid;homozygous;78,822;0.0;31;238;19. Malaysian ;;University of Western Ontario, Canada (Lachance M.A.);9
UWOPS03-459.1;BMC;Nectar, bertam palm;Tree;Malaysia;no;none;0;2;euploid;homozygous;79,389;0.0;51;314;19. Malaysian ;;University of Western Ontario, Canada (Lachance M.A.);9
UWOPS05_227_2;SACE_MAL;Telok Senangin, Malaysia, Lachance M, 2005 Trigona spp (Stingless bee) collected near Bertam palm flower;Insect;Telok Senangin, Malaysia;no;none;0;2;euploid;homozygous;78,333;0.0;169;61;19. Malaysian ;;University of Western Ontario, Canada (Lachance M.A.);17
YJM1447;SACE_YCY;Bertam Palm;Tree;Malaysia;no;A;6;2;euploid;homozygous;62,447;0.0;24;52;19. Malaysian ;;;2
CBS2888_1b;ABL;Soil;Soil;South Africa;yes;none;0;1;euploid;homozygous;70,982;0.0;58;295;No data;;CBS collection (Nguyen H.V.);1
YJM1342;SACE_YCB;Unknown;Soil;South Africa;no;B;1;2;euploid;homozygous;71,946;0.0;143;387;No data;;Phaff collection;2
SJ5L12;AMM;Leaf of Trema orientalis;Tree;Beinan, Taitung, Taiwan;no;none;0;2;euploid;homozygous;70,453;0.0;5,286;212;No data;;National Hsinchu University of Education (Ching-Fu Lee);25
HN15;BAN;Rotten wood;Nature;Wuzhi Mountain, Hainan province, China;no;none;0;2;euploid;homozygous;73,116;0.0;2,860;225;20. CHN V ;;Chinese Academy of Sciences (Feng-Yan Bai);24
HN16;BAP;Soil;Soil;Wuzhi Mountain, Hainan province, China;no;none;0;2;euploid;homozygous;72,925;0.0;2,552;223;20. CHN V ;;Chinese Academy of Sciences (Feng-Yan Bai);24
YPS615;CMP;Quercus sp.;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;66,125;0.0;11;111;21. Ecuadorean ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);
CLQCA_20-314;CCH;Termite mound;Insect;Yasuni, Orellana;no;none;0;2;"aneu;+1*16;";homozygous;67,900;0.0;40;191;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
YPS1000_1b;ACC;Exudate from Quercus sp.;Tree;USA;yes;none;0;1;euploid;homozygous;68,090;0.0;3;245;21. Ecuadorean ;;;1
CLQCA_20-156;CCC;Flower (Gesneriaceae sp.);Flower;Yasuni, Orellana;no;none;0;2;euploid;homozygous;68,394;0.0;45;260;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_20-184;CCD;Flower from Heliconia sp.;Flower;Yasuni, Orellana;no;none;0;2;euploid;homozygous;68,846;0.0;93;401;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_20-221;CCE;Flower from Heliconia sp.;Flower;Yasuni, Orellana;no;none;0;2;euploid;homozygous;68,824;0.0;14;328;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_20-246;CCF;Termite mound;Insect;Yasuni, Orellana;no;none;0;2;euploid;homozygous;68,927;0.0;5;379;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_20-259;CCG;Decaying fruit;Fruit;Yasuni, Orellana;no;none;0;2;euploid;homozygous;68,472;0.0;8;304;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_20-248;CCI;Termite mound;Insect;Yasuni, Orellana;no;none;0;2;euploid;homozygous;67,968;0.0;4;209;21. Ecuadorean ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
YPS617;CMQ;Quercus sp.;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;67,256;0.0;8;160;21. Ecuadorean ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);
UWOPS87-2421;SACE_GAT;Opuntia spp.;Nature;Hawaii;no;none;0;2;euploid;homozygous;63,460;0.0;4;32;No data;;University of Western Ontario, Canada (Lachance M.A.);6
YJM1444;SACE_YCX;Cladode;Nature;Hawaii;no;none;0;2;euploid;homozygous;63,579;0.0;5;38;No data;;;2
UCD_61-190-6A;CDN;Drosophila sp. ;Insect;California, USA;no;none;0;2;"aneu;+2*1;+2*3;";homozygous;66,851;0.0;787;253;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
EXF-5284;BFA;Soil below rotten apple;Soil;Slovenia;no;none;0;2;euploid;homozygous;60,214;0.0;34;279;No data;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
EXF-6780;BFL;Quercus petrea;Tree;Slovenia;no;none;0;2;euploid;homozygous;60,316;0.0;34;300;No data;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
IY_03-5-30-1-1-1_(1);AMB;Chauliodes pectinicornis (male) - Corydalidae;Insect;Louisiana, USA;no;none;0;2;euploid;homozygous;62,522;0.0;35;208;No data;;Louisiana State University (Meredith Blackwell);26
IY_03-5-26-5-1-1_(1);AMC;Chauliodes pectinicornis (female) - Corydalidae;Insect;Louisiana, USA;no;none;0;2;euploid;homozygous;62,634;0.0;34;212;No data;;Louisiana State University (Meredith Blackwell);26
N95-6-1C;CDQ;Exudate of Quercus sp.;Tree;Augusta, MI 49012, USA;no;none;0;2;euploid;homozygous;62,838;0.0;34;232;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
UWOPS83-787_3;SACE_GAS;Opuntia spp.;Nature;Bahamas;no;none;0;2;euploid;homozygous;65,004;0.0;50;458;No data;;University of Western Ontario, Canada (Lachance M.A.);6
YJM1443;SACE_YCW;Fruit;Fruit;Bahamas;no;none;0;2;euploid;homozygous;63,423;0.0;7;47;No data;;;2
N22.00-5D;CDF;Fruit of Grataegus dachurica;Fruit;Botanical garden, Blagoveshchensk, Russia;no;none;0;2;euploid;homozygous;72,076;0.0;37;224;22. Far East Russian ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
N3.00-7A;CDG;Grape berries of wild Vitus amurensis;Wine;Botanical garden, Blagoveshchensk, Russia;no;none;0;2;euploid;homozygous;72,484;0.0;28;269;22. Far East Russian ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
N159.01-2B;CDH;Exudate of Quercus mongolica;Tree;Botanical garden, Blagoveshchensk, Russia;no;none;0;2;euploid;homozygous;72,011;0.0;8;201;22. Far East Russian ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
N163.01-5A;CDI;Exudate of Quercus mongolica;Tree;Botanical garden, Blagoveshchensk, Russia;no;none;0;2;euploid;homozygous;71,849;0.0;15;185;22. Far East Russian ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
ES4M07;AMD;Fruiting body of Geastrum sp.;Fruit;Dongpu, Sinyi Township, Nantou, Taiwan;no;none;0;2;euploid;homozygous;65,433;0.0;1,674;223;No data;;National Hsinchu University of Education (Ching-Fu Lee);25
ES2M03;AMF;Fruiting body of Russula sp.;Fruit;Dongpu, Sinyi Township, Nantou, Taiwan;no;none;0;2;euploid;homozygous;65,491;0.0;5;195;No data;;National Hsinchu University of Education (Ching-Fu Lee);25
ES2M03-7A;CEH;Fruiting body of Russula sp.;Fruit;Taiwan;no;none;0;2;euploid;homozygous;66,059;0.0;27;250;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
IFO_0877:6-1;CCP;Quercus sp.;Tree;Japan;no;none;0;2;euploid;homozygous;62,333;0.0;3,376;205;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
CLIB414;BEG;High sugar foodstuff, Food;Industrial;Japan;no;none;0;2;"aneu;+1*16;";homozygous;63,240;0.0;2,145;264;No data;;CLIB collection (Serge Casaregola);
ATCC_66348-1D;CDB;Soil;Soil;Japan;no;none;0;2;euploid;homozygous;63,118;0.0;2,306;192;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
YPS163;AVI;Soil beneath Quercus rubra;Soil;Pennsylvanian;no;none;0;2;euploid;homozygous;62,131;0.0;3;167;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS163_1b;ACD;Exudate from Quercus sp.;Tree;USA;yes;none;0;1;euploid;homozygous;62,419;0.0;2;202;23. North American oak ;;Kruglyak Laboratory;1
YPS139;ANF;Soil beneath unidentified Quercus sp.;Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,263;0.0;1;183;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS142;ANH;Bark of q.rubra;Nature;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,446;0.0;0;202;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS129;ANC;Flux from Quercus alba;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,601;0.0;27;226;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS134;ANE;Soil beneath Quercus velutina;Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,452;0.0;2;193;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS141;ANG;Soil beneath Quercus velutina;Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,526;0.0;17;215;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS133;AND;Soil beneath Quercus alba;Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,591;0.0;0;238;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS154;ANK;Bark of q.velutina;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,497;0.0;11;224;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS143;ANI;Soil beneath(q.rubra);Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,732;0.0;0;272;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YPS128;AKN;Soil beneath Quercus alba;Soil;Pennsylvania, USA;no;none;0;2;euploid;homozygous;62,706;0.0;20;245;23. North American oak ;;YPS collection / University of Pennsylvania, USA (Snigowski P.);27
YJM1273;SACE_YBS;Quercus sp. ;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;63,960;0.0;12;309;23. North American oak ;;Phaff collection;2
YJM1434;SACE_YCU;Oak;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;64,035;0.0;12;291;23. North American oak ;;;2
2163;BBR;Quercus faginea, 30C;Tree;Castellon, Spain;no;none;0;2;euploid;homozygous;65,253;0.0;624;236;No data;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
YJM1402;SACE_YCO;Wine;Wine;NA;no;A;5;2;euploid;homozygous;55,007;0.0;36;154;No data;;Phaff collection;2
YPS670;CMS;Quercus sp.;Tree;Pennsylvania, USA;no;none;0;2;euploid;homozygous;63,254;0.0;40;211;No data;;YPS collection / University of Pennsylvania, USA (Snigowski P.);
NC_02_b;ADG;Exudate from Quercus sp.;Tree;North Carolina, USA;yes;none;0;1;euploid;homozygous;63,527;0.0;21;265;No data;;;1
N95-5-1A;CDP;Exudate of Quercus sp.;Tree;Augusta, MI 49012, USA;no;none;0;2;euploid;homozygous;63,585;0.0;24;267;No data;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
YJM1573;SACE_YDI;Fermented food;Unknown;India;no;none;0;2;euploid;homozygous;64,303;0.0;23;118;No data;;;2
CBS1592;ARH;Fermenting cacao;Fermentation;Java, Indonesia;no;C;85;2;"aneu;+1*1;";heterozygous;67,859;9.4;1,380;211;24. Asian islands ;;CBS collection (Nguyen H.V.);
CBS1593;ARI;Fermenting cacao;Fermentation;Java, Indonesia;no;C;131;2;"aneu;+2*1;+1*2;";heterozygous;70,548;14.4;1,564;210;24. Asian islands ;;CBS collection (Nguyen H.V.);
CBS2992;AFK;Palm wine;Palm wine;Pakistan;no;none;0;2;euploid;homozygous;68,308;0.0;2,869;187;24. Asian islands ;;CBS collection (Nguyen H.V.);
CBS3000;AHH;Palm wine;Palm wine;Denmark;yes;none;0;1;euploid;homozygous;68,352;0.0;2,479;203;24. Asian islands ;;CBS collection (Nguyen H.V.);
S11F3-6B;CCT;Phloem sap of Caryota urens;Tree;Sri Lanka;no;C;171;2;euploid;homozygous;68,304;0.0;2,678;223;24. Asian islands ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
S8BM-30-2D;CCV;Phloem sap of Caryota urens;Tree;Sri Lanka;no;C;91;2;euploid;homozygous;68,338;0.0;2,448;199;24. Asian islands ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
S8BM-32-4D(a);CDA;Phloem sap of Caryota urens;Tree;Sri Lanka;yes;C;19;1;euploid;homozygous;68,336;0.0;2,481;247;24. Asian islands ;;State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
CBS1594;AGR;Plant;Nature;NA;yes;C;34;1;euploid;homozygous;67,676;0.0;2,366;189;24. Asian islands ;;CBS collection (Nguyen H.V.);
CBS1576;ARG;Exudate of Arenga sp.;Tree;Celebes, Sulavesi, Indonesia;no;C;66;2;euploid;homozygous;68,061;0.0;2,858;222;24. Asian islands ;;CBS collection (Nguyen H.V.);
YJM1400;SACE_YCM;Guava;Fruit;Philippines;no;C;52;2;euploid;homozygous;68,707;0.0;69;478;24. Asian islands ;;Phaff collection;2
YJM1479;SACE_YDE;Coconut tuba;Palm wine;Phillipines;no;C;46;2;euploid;homozygous;67,977;0.0;12;129;24. Asian islands ;;;2
