Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
DBVPG4905;BRE;Fermenting grape must;Wine;Marsciano, Perugia, Italy;no;A;12;2;euploid;homozygous;42,817;0.0;159;291;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1976;BPV;Wine;Wine;Slovakia;no;A;33;2;euploid;homozygous;43,438;0.0;162;261;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
Ba-215;CRC;Wine;Wine;Italy;no;A;8;2;euploid;homozygous;42,779;0.0;173;218;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
CLIB1410;BHN;Rice wine, Oenology;Fermentation;Laos;no;A;34;2;euploid;homozygous;42,710;0.0;277;220;1. Wine/European ;;CLIB collection (Serge Casaregola);
PB200;BBB;Soil by trunk of Quercus sp. (Oak K), next to vineyard;Soil;Montalcino in Italy;no;A;45;2;euploid;homozygous;42,485;0.0;5;181;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
PB137;BAV;Bark of grape vine ;Wine;Montalcino in Italy;no;A;15;2;euploid;homozygous;42,739;0.0;4;262;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
B-4;CAE;Wine conserved in amphora;Wine;Georgia;no;A;3;2;euploid;homozygous;43,065;0.0;2;352;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);7
C-3;CAF;Wine conserved in amphora;Wine;Georgia;no;A;3;2;euploid;homozygous;42,654;0.0;2;205;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);7
C-6;CRL;Wine conserved in amphora;Wine;Georgia;no;A;6;2;euploid;homozygous;38,217;0.0;0;64;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);7
PB197;BBA;Litter by trunk of Quercus sp. (Oak 4), next to vineyard;Soil;Montalcino in Italy;no;A;23;2;euploid;homozygous;42,759;0.0;280;260;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
YJM969;SACE_YAY;Unknown;Human, clinical;Italy;no;A;61;2;euploid;homozygous;41,867;0.0;0;25;1. Wine/European (subclade 2);;Phaff collection;2
YJM981_b;ADI;Vagina;Human, clinical;Italy;yes;A;21;1;euploid;homozygous;43,151;0.0;6;220;1. Wine/European (subclade 2);;Phaff collection;1
YJM975;SACE_YBA;Vagina;Human, clinical;Italy;no;A;48;2;euploid;homozygous;42,713;0.0;13;36;1. Wine/European (subclade 2);;Phaff collection;2
YJM972;SACE_YAZ;Unknown;Human, clinical;Italy;no;A;47;2;euploid;homozygous;43,204;0.0;6;71;1. Wine/European (subclade 2);;Phaff collection;2
YJM989;BMI;Vagina;Human, clinical;Italy;no;A;10;2;euploid;homozygous;42,862;0.0;0;219;1. Wine/European (subclade 2);;Phaff collection (McCusker);2
YJM987;SACE_YBE;Unknown;Human, clinical;Italy;no;A;36;2;euploid;homozygous;42,571;0.0;5;114;1. Wine/European (subclade 2);;Phaff collection;2
YJM990;BMK;Vagina;Human, clinical;Italy;no;A;8;2;euploid;homozygous;43,374;0.0;1;350;1. Wine/European (subclade 2);;Phaff collection (McCusker);10
YJM980;SACE_YBF;Unknown;Human, clinical;Italy;no;A;49;2;euploid;homozygous;42,873;0.0;0;41;1. Wine/European (subclade 2);;Phaff collection;2
YJM984;BMH;Vagina;Human, clinical;Italy;no;A;17;2;euploid;homozygous;42,736;0.0;3;196;1. Wine/European (subclade 2);;Phaff collection (McCusker);2
IL_01_b;ADD;Soil;Soil;Illinois, USA;yes;A;19;1;euploid;homozygous;43,038;0.0;2;225;1. Wine/European (subclade 2);;Kruglyak Laboratory;1
YJM978;SACE_YBB;Vagina;Human, clinical;Italy;no;A;51;2;euploid;homozygous;43,345;0.0;0;64;1. Wine/European (subclade 2);;Phaff collection;2
YJM993;SACE_YBG;Unknown;Human, clinical;Italy;no;A;40;2;euploid;homozygous;43,516;0.0;7;122;1. Wine/European (subclade 2);;Phaff collection;2
YJM996;SACE_YBH;Unknown;Human, clinical;Italy;no;A;47;2;euploid;homozygous;41,198;0.0;7;24;1. Wine/European (subclade 2);;Phaff collection;2
CECT10351-1B;CDS;Tomato;Fruit;Spain;no;A;77;2;euploid;homozygous;43,285;0.0;501;287;1. Wine/European ;;CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1122;BIM;Grape must;Wine;Lucera, Puglia, Italy;no;A;21;2;euploid;homozygous;42,623;0.0;12;253;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1123;BIN;Grape must;Wine;Manduria, Taranto, Italy;no;A;16;2;euploid;homozygous;42,548;0.0;4;213;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1163;BKA;Cherries;Fruit;Aurum, Sicily, Italy;no;A;7;2;euploid;homozygous;42,612;0.0;8;228;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG4317;BQQ;Fermenting refrigerated Grape must (5C ca);Wine;Bettona, Perugia, Italy ;no;A;8;2;euploid;homozygous;42,420;0.0;672;172;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
T73_1b;ADS;Monastrel grape fermentation (red wine);Wine;Alicante, Spain;no;A;36;2;euploid;homozygous;43,029;0.0;493;210;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG1711;BNM;Grape must;Wine;Ygai, Rioja, Spain;no;A;46;2;euploid;homozygous;43,359;0.0;682;215;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1339_1b;ACR;Grapes;Wine;Netherlands;yes;A;26;1;euploid;homozygous;43,596;0.0;2;273;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG1105;BIH;Grapes;Wine;Adelaide, Australia;no;A;23;2;euploid;heterozygous;46,066;10.9;9;285;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1339;BKC;Grape must;Wine;Netherlands;no;A;24;2;euploid;heterozygous;46,163;10.9;4;274;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1975;BLS;Wine;Wine;Greece;no;A;7;2;euploid;heterozygous;45,909;8.8;16;403;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1374;BKD;Soil;Soil;Netherlands;no;A;34;2;euploid;heterozygous;46,921;15.0;59;318;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1714;BNP;Grape must;Wine;Fuen Mayor, Rioja, Spain;no;A;31;2;euploid;heterozygous;46,120;14.7;63;175;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1580;BKN;Grape must;Wine;Sardinia, Italy;no;A;80;2;euploid;homozygous;43,070;0.0;3;222;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1719;BNQ;Grape must;Wine;San Adrian, Rioja, Spain;no;A;138;2;euploid;homozygous;43,217;0.0;9;238;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG3051;CBH;Grape must;Wine;Israel;no;A;39;2;euploid;heterozygous;43,130;7.5;867;95;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1523;BKH;Grape must;Wine;Trentino, Italy;no;A;39;2;euploid;homozygous;43,805;0.0;711;248;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1880;BPM;Grape must treated with pesticides;Wine;Italy;no;none;0;2;euploid;heterozygous;44,735;7.4;875;254;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1581;BKP;Grape must;Wine;Marassinai, Sardinia, Italy;no;A;31;2;"aneu;+1*8;";heterozygous;45,859;12.1;658;175;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
RB3-7Sc2;CRA;Wine;Wine;Italy;no;A;43;2;"aneu;-1*1;";heterozygous;45,518;10.7;727;195;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
SC2-37;CRB;Wine;Wine;Italy;no;A;10;2;euploid;homozygous;42,670;0.0;575;182;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib61;CHC;Fermenting grape must (red wine);Wine;Lebanon;no;A;18;2;euploid;heterozygous;44,705;7.6;664;301;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Ca6;CGS;Fermenting grape must (sweet wine);Wine;Lebanon;no;A;10;2;euploid;homozygous;44,096;0.0;420;235;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib54;CHB;Fermenting grape must (white wine);Wine;Lebanon;no;A;54;2;euploid;heterozygous;46,366;8.9;1,109;246;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib70;CHD;Fermenting grape must (white wine);Wine;Lebanon;no;A;17;2;euploid;heterozygous;47,284;19.0;758;214;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib51;CGV;Fermenting grape must (sweet wine);Wine;Lebanon;no;A;34;2;euploid;heterozygous;45,222;8.5;1,198;187;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib52;CHA;Fermenting grape must (sweet wine);Wine;Lebanon;no;A;16;2;euploid;homozygous;43,971;0.0;645;249;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
Lib71;CHE;Fermenting grape must (rose wine);Wine;Lebanon;no;A;12;2;euploid;heterozygous;45,918;12.8;490;202;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
